t f1 f2 f3 f4 Fsum x y Area del_D del_Fsum abs_delFsum (del_Fsum)(del_D) (abs_del_Fsum)(del_D) sum_abs_del_f (sum_abs_del_f)(del_D)
0.02 11 2 7 39 59 0.09728814 -0.07830508N.A. N.A. N.A. N.A. N.A. N.A. N.A. N.A. N.A.
0.04 12 3 6 38 59 0.09728814 -0.06881356 0.00001086 0.00949153 0 0 0.00000000 0.00000000 4 0.03796610
0.06 11 2 7 36 56 0.09500000 -0.07500000 0.00000388 0.00659603 -3 3 -0.01978809 0.01978809 5 0.03298015
0.08 11 2 7 35 55 0.09418182 -0.07381818 0.00000118 0.00143740 -1 1 -0.00143740 0.00143740 1 0.00143740
0.10 10 1 7 36 54 0.09851852 -0.08296296 0.00002328 0.01012097 -1 1 -0.01012097 0.01012097 3 0.03036290
0.12 12 1 7 35 55 0.09927273 -0.07381818 0.00003036 0.00917583 1 1 0.00917583 0.00917583 3 0.02752749
0.14 13 3 7 37 60 0.09333333 -0.06533333 0.00000040 0.01035708 5 5 0.05178539 0.05178539 5 0.05178539
0.16 12 4 6 37 59 0.09254237 -0.06406780 0.00000457 0.00149238 -1 1 -0.00149238 0.00149238 3 0.00447714
0.18 15 2 7 39 63 0.10000000 -0.06444444 0.00002524 0.00746713 4 4 0.02986853 0.02986853 8 0.05973706
0.20 13 2 7 39 61 0.09868852 -0.07114754 0.00000371 0.00683019 -2 2 -0.01366038 0.01366038 2 0.01366038
0.22 11 2 6 36 55 0.09927273 -0.07381818 0.00000313 0.00273379 -6 6 -0.01640275 0.01640275 6 0.01640275
0.24 12 3 6 35 56 0.09500000 -0.06500000 0.00002314 0.00979880 1 1 0.00979880 0.00979880 3 0.02939641
0.26 12 3 7 33 55 0.08909091 -0.06363636 0.00002078 0.00606439 -1 1 -0.00606439 0.00606439 3 0.01819318
0.28 11 0 4 34 49 0.11714286 -0.07714286 0.00003636 0.03113418 -6 6 -0.18680508 0.18680508 8 0.24907344
0.30 12 1 5 34 52 0.10769231 -0.07000000 0.00002510 0.01184624 3 3 0.03553871 0.03553871 3 0.03553871
0.32 12 3 6 36 57 0.09578947 -0.06631579 0.00005687 0.01245997 5 5 0.06229985 0.06229985 5 0.06229985
0.34 14 4 6 36 60 0.09333333 -0.05600000 0.00001399 0.01060416 3 3 0.03181247 0.03181247 3 0.03181247
0.36 13 3 7 36 59 0.09254237 -0.06406780 0.00007062 0.00810648 -1 1 -0.00810648 0.00810648 3 0.02431943
